author,title,style,transfer_type,text
Jane Austen,Pride and Prejudice,XIX,ORIGINAL,"The wedding took place; the bride and bridegroom set off for Kent from the church door, and everybody had as much to say or to hear on the subject as usual. Elizabeth soon heard from her friend; and their correspondence was as regular and frequent as it had ever been; that it should be equally unreserved was impossible. Elizabeth could never address her without feeling that all the comfort of intimacy was over, and, though determined not to slacken as a correspondent, it was for the sake of what had been, rather than what was. Charlotte’s first letters were received with a good deal of eagerness; there could not but be curiosity to know how she would speak of her new home, how she would like Lady Catherine, and how happy she would dare pronounce herself to be; though, when the letters were read, Elizabeth felt that Charlotte expressed herself on every point exactly as she might have foreseen. She wrote cheerfully, seemed surrounded with comforts, and mentioned nothing which she could not praise. The house, furniture, neighbourhood, and roads, were all to her taste, and Lady Catherine’s behaviour was most friendly and obliging. It was Mr. Collins’s picture of Hunsford and Rosings rationally softened; and Elizabeth perceived that she must wait for her own visit there, to know the rest."
Jane Austen,Pride and Prejudice,XIX,ORIGINAL,"The entertainment of dining at Rosings was repeated about twice a week; and, allowing for the loss of Sir William, and there being only one card table in the evening, every such entertainment was the counterpart of the first. Their other engagements were few; as the style of living of the neighbourhood in general, was beyond the Collinses’ reach. This however was no evil to Elizabeth, and upon the whole she spent her time comfortably enough; there were half hours of pleasant conversation with Charlotte, and the weather was so fine for the time of year, that she had often great enjoyment out of doors. Her favourite walk, and where she frequently went while the others were calling on Lady Catherine, was along the open grove which edged that side of the park, where there was a nice sheltered path, which no one seemed to value but herself, and where she felt beyond the reach of Lady Catherine’s curiosity."
Jane Austen,Pride and Prejudice,XIX,ORIGINAL,"More than once did Elizabeth in her ramble within the Park, unexpectedly meet Mr. Darcy. She felt all the perverseness of the mischance that should bring him where no one else was brought; and to prevent its ever happening again, took care to inform him at first, that it was a favourite haunt of hers. How it could occur a second time therefore was very odd!⁠—Yet it did, and even a third. It seemed like wilful ill-nature, or a voluntary penance, for on these occasions it was not merely a few formal enquiries and an awkward pause and then away, but he actually thought it necessary to turn back and walk with her. He never said a great deal, nor did she give herself the trouble of talking or of listening much; but it struck her in the course of their third rencontre that he was asking some odd unconnected questions⁠—about her pleasure in being at Hunsford, her love of solitary walks, and her opinion of Mr. and Mrs. Collins’s happiness; and that in speaking of Rosings and her not perfectly understanding the house, he seemed to expect that whenever she came into Kent again she would be staying there too. His words seemed to imply it. Could he have Colonel Fitzwilliam in his thoughts? She supposed, if he meant anything, he must mean an allusion to what might arise in that quarter. It distressed her a little, and she was quite glad to find herself at the gate in the pales opposite the Parsonage."
Jane Austen,Pride and Prejudice,XIX,ORIGINAL,"One morning, about a week after Bingley’s engagement with Jane had been formed, as he and the females of the family were sitting together in the dining-room, their attention was suddenly drawn to the window by the sound of a carriage; and they perceived a chaise and four driving up the lawn. It was too early in the morning for visitors, and besides, the equipage did not answer to that of any of their neighbours. The horses were post; and neither the carriage, nor the livery of the servant who preceded it, were familiar to them. As it was certain, however, that somebody was coming, Bingley instantly prevailed on Miss Bennet to avoid the confinement of such an intrusion, and walk away with him into the shrubbery. They both set off, and the conjectures of the remaining three continued, though with little satisfaction, till the door was thrown open, and their visitor entered. It was Lady Catherine de Bourgh."
Jane Austen,Pride and Prejudice,XIX,ORIGINAL,"Elizabeth, feeling all the more than common awkwardness and anxiety of his situation, now forced herself to speak; and immediately, though not very fluently, gave him to understand that her sentiments had undergone so material a change since the period to which he alluded, as to make her receive with gratitude and pleasure his present assurances. The happiness which this reply produced was such as he had probably never felt before; and he expressed himself on the occasion as sensibly and as warmly as a man violently in love can be supposed to do. Had Elizabeth been able to encounter his eye, she might have seen how well the expression of heartfelt delight, diffused over his face, became him; but, though she could not look, she could listen, and he told her of feelings, which, in proving of what importance she was to him, made his affection every moment more valuable.
They walked on, without knowing in what direction. There was too much to be thought; and felt, and said, for attention to any other objects. She soon learnt that they were indebted for their present good understanding to the efforts of his aunt, who did call on him in her return through London, and there relate her journey to Longbourn, its motive, and the substance of her conversation with Elizabeth; dwelling emphatically on every expression of the latter, which, in her ladyship’s apprehension, peculiarly denoted her perverseness and assurance, in the belief that such a relation must assist her endeavours to obtain that promise from her nephew, which she had refused to give. But, unluckily for her ladyship, its effect had been exactly contrariwise."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"One stop brought us into the family sitting-room, without any introductory lobby or passage: they call it here “the house” preeminently. It includes kitchen and parlour, generally; but I believe at Wuthering Heights the kitchen is forced to retreat altogether into another quarter: at least I distinguished a chatter of tongues, and a clatter of culinary utensils, deep within; and I observed no signs of roasting, boiling, or baking, about the huge fireplace; nor any glitter of copper saucepans and tin cullenders on the walls. One end, indeed, reflected splendidly both light and heat from ranks of immense pewter dishes, interspersed with silver jugs and tankards, towering row after row, on a vast oak dresser, to the very roof. The latter had never been under-drawn: its entire anatomy lay bare to an inquiring eye, except where a frame of wood laden with oatcakes and clusters of legs of beef, mutton, and ham, concealed it. Above the chimney were sundry villainous old guns, and a couple of horse-pistols: and, by way of ornament, three gaudily-painted canisters disposed along its ledge. The floor was of smooth, white stone; the chairs, high-backed, primitive structures, painted green: one or two heavy black ones lurking in the shade. In an arch under the dresser reposed a huge, liver-coloured bitch pointer, surrounded by a swarm of squealing puppies; and other dogs haunted other recesses."
TRANSFER_BEFORE_04,Wuthering heights,XIX,TRANSFER_BEFORE,"Yesterday afternoon set in misty and cold. I had half a mind to spend it by my study fire, instead of wading through heath and mud to Wuthering Heights. On coming up from dinner, however, (N.B.⁠—I dine between twelve and one o’clock; the housekeeper, a matronly lady, taken as a fixture along with the house, could not, or would not, comprehend my request that I might be served at five)⁠—on mounting the stairs with this lazy intention, and stepping into the room, I saw a servant-girl on her knees surrounded by brushes and coal-scuttles, and raising an infernal dust as she extinguished the flames with heaps of cinders. This spectacle drove me back immediately; I took my hat, and, after a four-miles’ walk, arrived at Heathcliff’s garden-gate just in time to escape the first feathery flakes of a snow-shower.
On that bleak hilltop the earth was hard with a black frost, and the air made me shiver through every limb. Being unable to remove the chain, I jumped over, and, running up the flagged causeway bordered with straggling gooseberry-bushes, knocked vainly for admittance, till my knuckles tingled and the dogs howled."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"We came to the chapel. I have passed it really in my walks, twice or thrice; it lies in a hollow, between two hills: an elevated hollow, near a swamp, whose peaty moisture is said to answer all the purposes of embalming on the few corpses deposited there. The roof has been kept whole hitherto; but as the clergyman’s stipend is only twenty pounds per annum, and a house with two rooms, threatening speedily to determine into one, no clergyman will undertake the duties of pastor: especially as it is currently reported that his flock would rather let him starve than increase the living by one penny from their own pockets. However, in my dream, Jabez had a full and attentive congregation; and he preached⁠—good God! what a sermon; divided into four hundred and ninety parts, each fully equal to an ordinary address from the pulpit, and each discussing a separate sin! Where he searched for them, I cannot tell. He had his private manner of interpreting the phrase, and it seemed necessary the brother should sin different sins on every occasion. They were of the most curious character: odd transgressions that I never imagined previously."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"We crowded round, and over Miss Cathy’s head I had a peep at a dirty, ragged, black-haired child; big enough both to walk and talk: indeed, its face looked older than Catherine’s; yet when it was set on its feet, it only stared round, and repeated over and over again some gibberish that nobody could understand. I was frightened, and Mrs. Earnshaw was ready to fling it out of doors: she did fly up, asking how he could fashion to bring that gipsy brat into the house, when they had their own bairns to feed and fend for? What he meant to do with it, and whether he were mad? The master tried to explain the matter; but he was really half dead with fatigue, and all that I could make out, amongst her scolding, was a tale of his seeing it starving, and houseless, and as good as dumb, in the streets of Liverpool, where he picked it up and inquired for its owner. Not a soul knew to whom it belonged, he said; and his money and time being both limited, he thought it better to take it home with him at once, than run into vain expenses there: because he was determined he would not leave it as he found it. Well, the conclusion was, that my mistress grumbled herself calm; and Mr. Earnshaw told me to wash it, and give it clean things, and let it sleep with the children."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"Under these circumstances I remained solitary. I smelt the rich scent of the heating spices; and admired the shining kitchen utensils, the polished clock, decked in holly, the silver mugs ranged on a tray ready to be filled with mulled ale for supper; and above all, the speckless purity of my particular care⁠—the scoured and well-swept floor. I gave due inward applause to every object, and then I remembered how old Earnshaw used to come in when all was tidied, and call me a cant lass, and slip a shilling into my hand as a Christmas-box; and from that I went on to think of his fondness for Heathcliff, and his dread lest he should suffer neglect after death had removed him: and that naturally led me to consider the poor lad’s situation now, and from singing I changed my mind to crying. It struck me soon, however, there would be more sense in endeavouring to repair some of his wrongs than shedding tears over them: I got up and walked into the court to seek him. He was not far; I found him smoothing the glossy coat of the new pony in the stable, and feeding the other beasts, according to custom."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"Mr. Edgar seldom mustered courage to visit Wuthering Heights openly. He had a terror of Earnshaw’s reputation, and shrunk from encountering him; and yet he was always received with our best attempts at civility: the master himself avoided offending him, knowing why he came; and if he could not be gracious, kept out of the way. I rather think his appearance there was distasteful to Catherine; she was not artful, never played the coquette, and had evidently an objection to her two friends meeting at all; for when Heathcliff expressed contempt of Linton in his presence, she could not half coincide, as she did in his absence; and when Linton evinced disgust and antipathy to Heathcliff, she dared not treat his sentiments with indifference, as if depreciation of her playmate were of scarcely any consequence to her. I’ve had many a laugh at her perplexities and untold troubles, which she vainly strove to hide from my mockery. That sounds ill-natured: but she was so proud it became really impossible to pity her distresses, till she should be chastened into more humility. She did bring herself, finally, to confess, and to confide in me: there was not a soul else that she might fashion into an adviser."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"About midnight, while we still sat up, the storm came rattling over the Heights in full fury. There was a violent wind, as well as thunder, and either one or the other split a tree off at the corner of the building: a huge bough fell across the roof, and knocked down a portion of the east chimney-stack, sending a clatter of stones and soot into the kitchen-fire. We thought a bolt had fallen in the middle of us; and Joseph swung on to his knees, beseeching the Lord to remember the patriarchs Noah and Lot, and, as in former times, spare the righteous, though he smote the ungodly. I felt some sentiment that it must be a judgment on us also. The Jonah, in my mind, was Mr. Earnshaw; and I shook the handle of his den that I might ascertain if he were yet living. He replied audibly enough, in a fashion which made my companion vociferate, more clamorously than before, that a wide distinction might be drawn between saints like himself and sinners like his master. But the uproar passed away in twenty minutes, leaving us all unharmed; excepting Cathy, who got thoroughly drenched for her obstinacy in refusing to take shelter, and standing bonnetless and shawlless to catch as much water as she could with her hair and clothes. She came in and lay down on the settle, all soaked as she was, turning her face to the back, and putting her hands before it."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"I descended, and found Heathcliff waiting under the porch, evidently anticipating an invitation to enter. He followed my guidance without waste of words, and I ushered him into the presence of the master and mistress, whose flushed cheeks betrayed signs of warm talking. But the lady’s glowed with another feeling when her friend appeared at the door: she sprang forward, took both his hands, and led him to Linton; and then she seized Linton’s reluctant fingers and crushed them into his. Now, fully revealed by the fire and candlelight, I was amazed, more than ever, to behold the transformation of Heathcliff. He had grown a tall, athletic, well-formed man; beside whom my master seemed quite slender and youth-like. His upright carriage suggested the idea of his having been in the army. His countenance was much older in expression and decision of feature than Mr. Linton’s; it looked intelligent, and retained no marks of former degradation. A half-civilised ferocity lurked yet in the depressed brows and eyes full of black fire, but it was subdued; and his manner was even dignified: quite divested of roughness, though stern for grace. My master’s surprise equalled or exceeded mine: he remained for a minute at a loss how to address the ploughboy, as he had called him. Heathcliff dropped his slight hand, and stood looking at him coolly till he chose to speak."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"One time I passed the old gate, going out of my way, on a journey to Gimmerton. It was about the period that my narrative has reached: a bright frosty afternoon; the ground bare, and the road hard and dry. I came to a stone where the highway branches off on to the moor at your left hand; a rough sand-pillar, with the letters W.H. cut on its north side, on the east, G., and on the southwest, T.G. It serves as a guidepost to the Grange, the Heights, and village. The sun shone yellow on its grey head, reminding me of summer; and I cannot say why, but all at once a gush of child’s sensations flowed into my heart. Hindley and I held it a favourite spot twenty years before. I gazed long at the weatherworn block; and, stooping down, perceived a hole near the bottom still full of snail-shells and pebbles, which we were fond of storing there with more perishable things; and, as fresh as reality, it appeared that I beheld my early playmate seated on the withered turf: his dark, square head bent forward, and his little hand scooping out the earth with a piece of slate."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"In passing the garden to reach the road, at a place where a bridle hook is driven into the wall, I saw something white moved irregularly, evidently by another agent than the wind. Notwithstanding my hurry, I stayed to examine it, lest ever after I should have the conviction impressed on my imagination that it was a creature of the other world. My surprise and perplexity were great on discovering, by touch more than vision, Miss Isabella’s springer, Fanny, suspended by a handkerchief, and nearly at its last gasp. I quickly released the animal, and lifted it into the garden. I had seen it follow its mistress upstairs when she went to bed; and wondered much how it could have got out there, and what mischievous person had treated it so. While untying the knot round the hook, it seemed to me that I repeatedly caught the beat of horses’ feet galloping at some distance; but there were such a number of things to occupy my reflections that I hardly gave the circumstance a thought: though it was a strange sound, in that place, at two o’clock in the morning."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"This news filled me with fresh fears; I outstripped Kenneth, and ran most of the way back. The little dog was yelping in the garden yet. I spared a minute to open the gate for it, but instead of going to the house door, it coursed up and down snuffing the grass, and would have escaped to the road, had I not seized it and conveyed it in with me. On ascending to Isabella’s room, my suspicions were confirmed: it was empty. Had I been a few hours sooner Mrs. Linton’s illness might have arrested her rash step. But what could be done now? There was a bare possibility of overtaking them if pursued instantly. I could not pursue them, however; and I dared not rouse the family, and fill the place with confusion; still less unfold the business to my master, absorbed as he was in his present calamity, and having no heart to spare for a second grief! I saw nothing for it but to hold my tongue, and suffer matters to take their course; and Kenneth being arrived, I went with a badly composed countenance to announce him. Catherine lay in a troubled sleep: her husband had succeeded in soothing the excess of frenzy; he now hung over her pillow, watching every shade and every change of her painfully expressive features."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"Mrs. Linton sat in a loose white dress, with a light shawl over her shoulders, in the recess of the open window, as usual. Her thick, long hair had been partly removed at the beginning of her illness, and now she wore it simply combed in its natural tresses over her temples and neck. Her appearance was altered, as I had told Heathcliff; but when she was calm, there seemed unearthly beauty in the change. The flash of her eyes had been succeeded by a dreamy and melancholy softness; they no longer gave the impression of looking at the objects around her: they appeared always to gaze beyond, and far beyond⁠—you would have said out of this world. Then, the paleness of her face⁠—its haggard aspect having vanished as she recovered flesh⁠—and the peculiar expression arising from her mental state, though painfully suggestive of their causes, added to the touching interest which she awakened; and⁠—invariably to me, I know, and to any person who saw her, I should think⁠—refuted more tangible proofs of convalescence, and stamped her as one doomed to decay."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"As I spoke, I observed a large dog lying on the sunny grass beneath raise its ears as if about to bark, and then smoothing them back, announce, by a wag of the tail, that someone approached whom it did not consider a stranger. Mrs. Linton bent forward, and listened breathlessly. The minute after a step traversed the hall; the open house was too tempting for Heathcliff to resist walking in: most likely he supposed that I was inclined to shirk my promise, and so resolved to trust to his own audacity. With straining eagerness Catherine gazed towards the entrance of her chamber. He did not hit the right room directly: she motioned me to admit him, but he found it out ere I could reach the door, and in a stride or two was at her side, and had her grasped in his arms.

He neither spoke nor loosed his hold for some five minutes, during which period he bestowed more kisses than ever he gave in his life before, I daresay: but then my mistress had kissed him first, and I plainly saw that he could hardly bear, for downright agony, to look into her face! The same conviction had stricken him as me, from the instant he beheld her, that there was no prospect of ultimate recovery there⁠—she was fated, sure to die."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"On the day succeeding Isabella’s unexpected visit I had no opportunity of speaking to my master: he shunned conversation, and was fit for discussing nothing. When I could get him to listen, I saw it pleased him that his sister had left her husband; whom he abhorred with an intensity which the mildness of his nature would scarcely seem to allow. So deep and sensitive was his aversion, that he refrained from going anywhere where he was likely to see or hear of Heathcliff. Grief, and that together, transformed him into a complete hermit: he threw up his office of magistrate, ceased even to attend church, avoided the village on all occasions, and spent a life of entire seclusion within the limits of his park and grounds; only varied by solitary rambles on the moors, and visits to the grave of his wife, mostly at evening, or early morning before other wanderers were abroad. But he was too good to be thoroughly unhappy long. He didn’t pray for Catherine’s soul to haunt him. Time brought resignation, and a melancholy sweeter than common joy. He recalled her memory with ardent, tender love, and hopeful aspiring to the better world; where he doubted not she was gone."
Emily Bronte,Wuthering heights,XIX,ORIGINAL,"The summer shone in full prime; and she took such a taste for this solitary rambling that she often contrived to remain out from breakfast till tea; and then the evenings were spent in recounting her fanciful tales. I did not fear her breaking bounds; because the gates were generally locked, and I thought she would scarcely venture forth alone, if they had stood wide open. Unluckily, my confidence proved misplaced. Catherine came to me, one morning, at eight o’clock, and said she was that day an Arabian merchant, going to cross the Desert with his caravan; and I must give her plenty of provision for herself and beasts: a horse, and three camels, personated by a large hound and a couple of pointers. I got together good store of dainties, and slung them in a basket on one side of the saddle; and she sprang up as gay as a fairy, sheltered by her wide-brimmed hat and gauze veil from the July sun, and trotted off with a merry laugh, mocking my cautious counsel to avoid galloping, and come back early. The naughty thing never made her appearance at tea. One traveller, the hound, being an old dog and fond of its ease, returned; but neither Cathy, nor the pony, nor the two pointers were visible in any direction: I despatched emissaries down this path, and that path, and at last went wandering in search of her myself. There was a labourer working at a fence round a plantation, on the borders of the grounds. I inquired of him if he had seen our young lady."
Charlotte Bronte,Jane Eyre,XIX,ORIGINAL,"They went, shutting the door, and locking it behind them.

The red-room was a square chamber, very seldom slept in, I might say never, indeed, unless when a chance influx of visitors at Gateshead Hall rendered it necessary to turn to account all the accommodation it contained: yet it was one of the largest and stateliest chambers in the mansion. A bed supported on massive pillars of mahogany, hung with curtains of deep red damask, stood out like a tabernacle in the centre; the two large windows, with their blinds always drawn down, were half shrouded in festoons and falls of similar drapery; the carpet was red; the table at the foot of the bed was covered with a crimson cloth; the walls were a soft fawn colour with a blush of pink in it; the wardrobe, the toilet-table, the chairs were of darkly polished old mahogany. Out of these deep surrounding shades rose high, and glared white, the piled-up mattresses and pillows of the bed, spread with a snowy Marseilles counterpane. Scarcely less prominent was an ample cushioned easy-chair near the head of the bed, also white, with a footstool before it; and looking, as I thought, like a pale throne."
Charlotte Bronte,Jane Eyre,XIX,ORIGINAL,"Daylight began to forsake the red-room; it was past four o’clock, and the beclouded afternoon was tending to drear twilight. I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank. My habitual mood of humiliation, self-doubt, forlorn depression, fell damp on the embers of my decaying ire. All said I was wicked, and perhaps I might be so; what thought had I been but just conceiving of starving myself to death? That certainly was a crime: and was I fit to die? Or was the vault under the chancel of Gateshead Church an inviting bourne? In such vault I had been told did Mr. Reed lie buried; and led by this thought to recall his idea, I dwelt on it with gathering dread. I could not remember him; but I knew that he was my own uncle⁠—my mother’s brother⁠—that he had taken me when a parentless infant to his house; and that in his last moments he had required a promise of Mrs. Reed that she would rear and maintain me as one of her own children. Mrs. Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race, and unconnected with her, after her husband’s death, by any tie? It must have been most irksome to find herself bound by a hard-wrung pledge to stand in the stead of a parent to a strange child she could not love, and to see an uncongenial alien permanently intruded on her own family group."
